200	0.
210	0.
220	0.
230	0.
240	0.
250	0.
260	0.
270	0.
280	0.
290	0.002
300	0.02
310	0.10
320	0.27
330	0.47
340	0.63
350	0.73
360	0.80
370	0.83
380	0.84
390	0.83
400	0.81
410	0.79
420	0.78
430	0.78
440	0.79
450	0.80
460	0.79
470	0.80
480	0.81
490	0.81
500	0.82
510	0.82
520	0.81
530	0.81
540	0.81
550	0.82
560	0.82
570	0.82
580	0.81
590	0.79
600	0.77
610	0.75
620	0.71
630	0.68
640	0.64
650	0.60
660	0.56
670	0.51
680	0.46
690	0.41
700	0.37
710	0.32
720	0.28
730	0.23
740	0.20
750	0.16
760	0.13
770	0.11
780	0.08
790	0.07
800	0.05
810	0.04
820	0.03
830	0.02
840	0.01
850	0.01
860	0.008
870	0.006
880	0.004
890	0.002
900	0.002
910	0.0016
920	0.0012
930	0.0008
940	0.0004
950	0.0004
960	0.0003
970	0.0002
980	0.0001
990	0.00009
1000	0.00009
1010	0.00008
1020	0.00007
1030	0.00006
1040	0.00005
1050	0.00003
1060	0.00003
1070	0.000028
1080	0.000026
1090	0.000024
1100	0.000020
